Age,HeartDisease,MaxHR
28,0,185.0
28,1,
29,0,177.33333333333334
29,1,
30,0,170.0
30,1,
31,0,150.0
31,1,153.0
32,0,168.0
32,1,128.5
33,0,185.0
33,1,150.0
34,0,174.8
34,1,167.0
35,0,170.28571428571428
35,1,139.0
36,0,178.5
36,1,142.5
37,0,155.2
37,1,130.0
38,0,152.2
38,1,147.9090909090909
39,0,151.69230769230768
39,1,145.0
40,0,153.28571428571428
40,1,147.66666666666666
41,0,156.44444444444446
41,1,148.33333333333334
42,0,157.53333333333333
42,1,117.33333333333333
43,0,160.23076923076923
43,1,133.27272727272728
44,0,159.3846153846154
44,1,143.16666666666666
45,0,150.66666666666666
45,1,136.33333333333334
46,0,141.9090909090909
46,1,131.46153846153845
47,0,150.875
47,1,131.8181818181818
48,0,143.6875
48,1,128.13333333333333
49,0,156.3
49,1,137.8181818181818
50,0,147.0909090909091
50,1,133.28571428571428
51,0,139.5
51,1,130.73333333333332
52,0,158.05882352941177
52,1,127.52631578947368
53,0,140.16666666666666
53,1,121.26666666666667
54,0,146.39285714285714
54,1,126.21739130434783
55,0,149.94117647058823
55,1,121.66666666666667
56,0,143.76923076923077
56,1,121.16
57,0,139.25
57,1,131.03846153846155
58,0,134.57142857142858
58,1,128.28571428571428
59,0,144.0
59,1,129.69565217391303
60,0,134.875
60,1,135.375
61,0,125.4
61,1,120.15384615384616
62,0,131.3
62,1,116.92
63,0,149.14285714285714
63,1,122.78260869565217
64,0,134.42857142857142
64,1,125.46666666666667
65,0,147.5
65,1,117.26666666666667
66,0,129.0
66,1,121.28571428571429
67,0,158.0
67,1,125.66666666666667
68,0,138.0
68,1,134.83333333333334
69,0,136.0
69,1,118.2
70,0,143.0
70,1,120.66666666666667
71,0,139.0
71,1,111.5
72,0,114.0
72,1,113.66666666666667
73,0,
73,1,121.0
74,0,118.5
74,1,115.0
75,0,112.0
75,1,110.0
76,0,116.0
76,1,120.0
77,0,
77,1,136.0
