X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
,,L_601230550253963849,Mobile WiFi Kit 1,Q3AK-SUL7-7FC4,MR76-1,,,,[],2024/08/20 04:31:34+00,1,,,,,1
,,L_601230550253963849,Mobile WiFi Kit 1,Q2ZY-RF99-YN45,MG41-1,,,,[],2024/08/20 04:31:34+00,1,,,,,2
-7912255.43676079,5206227.69848915,L_601230550253964116,Nubian-Bus-Stop,Q3AE-QFTK-E55W,ROX-Nubian-AP1,"247 Washington St, Boston, MA 02121",42.3013503380001,-71.076999907,['recently-added'],2024/08/20 04:31:38+00,1,,,,,3
,,L_601230550253964116,Nubian-Bus-Stop,Q3AK-DU9C-2UXZ,ROX-Nubian_AP6,,,,[],2024/08/20 04:31:38+00,1,,,,,4
,,L_601230550253964116,Nubian-Bus-Stop,Q3AK-FGAN-3AR9,ROX-Nubian_AP7,,,,[],2024/08/20 04:31:38+00,1,,,,,5
-7913036.89914088,5209641.87977671,N_568579452955527921,Parks,Q2EK-4PWN-GALS,PARKS-FRANKLIN_CLUBHOUSE-MR84-AP1,"1 Circuit Dr., Roxbury, MA",42.324030334,-71.084019903,['recently-added'],2024/08/20 04:31:39+00,1,,,,,6
-7913800.32787478,5210827.64729927,N_579275502070532581,Roxbury,Q2CK-SSY2-PBYW,ROX-Madison Park-HS-AP1,"75 Malcolm X Blvd, Boston, MA 02120",42.3319053330001,-71.0908779,['recently-added'],2024/08/20 04:31:43+00,1,,,,,7
-7913800.32787478,5210827.64729927,N_579275502070532581,Roxbury,Q2CK-SU8N-5VU8,ROX-Madison Park-HS-AP3,"75 Malcolm X Blvd, Boston, MA 02120",42.3319053330001,-71.0908779,['recently-added'],2024/08/20 04:31:43+00,1,,,,,8
-7913465.7017081,5208391.22542626,N_579275502070532581,Roxbury,Q2CK-H5VS-5UKS,ROX-TROTTER-AP1,"135 Humboldt Ave., Roxbury, MA",42.3157233360001,-71.087871902,"['BPS', 'Outside', 'Trotter-School']",2024/08/20 04:31:43+00,1,BPS,,Outside,Trotter School,9
-7913720.67889044,5209400.67907213,N_579275502070532581,Roxbury,Q2CK-NU6F-VDER,ROX-SHELBURNE-AP1,"2730 Washington St., Roxbury, MA",42.322428335,-71.090162401,"['BCYF/BPL', 'Outside', 'Shelbourne-Comm-Center']",2024/08/20 04:31:43+00,1,BCYF,BPL,Outside,Shelbourne Comm Center,10
